original_species,mapped_species,accession,feature_location,product,sequence_length,search_level,status,ncbi_url,notes
Spizella arborea,Spizella arborea,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Spizella arborea,Spizella atrogularis,FJ236294.1,[1115:2711](+),16S ribosomal RNA,1596,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/FJ236294.1,
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Pelecanus erythrorhynchos,Pelecanus onocrotalus,PP981507.1,[<0:>547](+),large subunit ribosomal RNA,547,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PP981507.1,
Ardea herodias,Ardea herodias,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Ardea herodias,Ardea cinerea,LC743625.1,[<0:>226](+),16S ribosomal RNA,226,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/LC743625.1,
Butorides virescens,Butorides virescens,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Butorides virescens,Butorides striata,PV911327.1,[<0:>306](+),large subunit ribosomal RNA,306,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV911327.1,
Pelecanus thagus,Pelecanus thagus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Pelecanus thagus,Pelecanus crispus,PP576342.1,[1116:2717](+),16S ribosomal RNA,1601,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PP576342.1,
Ardeola grayii,Ardeola grayii,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Ardeola grayii,Ardeola bacchus,NC_025921.1,[1118:2713](+),16S ribosomal RNA,1595,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_025921.1,
Egretta thula,Egretta thula,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Egretta thula,Egretta garzetta,OR757053.1,[1117:2717](+),16S ribosomal RNA,1600,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR757053.1,
Colymbus nigricollis,Colymbus nigricollis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Colymbus nigricollis,,,,,,GENUS_STANDIN,NO_GENUS_HITS,,No genus-level nuccore hits.
Aechmophorus clarkii,Aechmophorus clarkii,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Aechmophorus clarkii,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,Genus-level search found only duplicate 16S sequences; existing species: Aechmophorus occidentalis
Podiceps nigricollis,Podiceps nigricollis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Podiceps nigricollis,Podiceps cristatus,MN356146.1,[1108:2699](+),16S ribosomal RNA,1591,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/MN356146.1,
Podiceps major,Podiceps major,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Podiceps major,Podiceps auritus,L33389.1,[<0:1187](+),16S ribosomal RNA,1187,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/L33389.1,
Podiceps grisegena,Podiceps grisegena,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Podiceps grisegena,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,"Genus-level search found only duplicate 16S sequences; existing species: Podiceps auritus, Podiceps cristatus"
Homo sapiens,Homo sapiens,PX591469.1,[1673:3231](+),16S ribosomal RNA,1558,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PX591469.1,
Puffinus puffinus,Puffinus puffinus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Puffinus puffinus,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Fulmarus glacialis,Fulmarus glacialis,MN356131.1,[1120:2757](+),16S ribosomal RNA,1637,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/MN356131.1,
Procellaria aequinoctialis,Procellaria aequinoctialis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Procellaria aequinoctialis,Procellaria cinerea,AP009191.1,[1003:2591](+),16S ribosomal RNA,1588,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/AP009191.1,
Ardenna tenuirostris,Ardenna tenuirostris,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Ardenna tenuirostris,Ardenna pacifica,NC_057528.1,[1197:2780](+),16S ribosomal RNA,1583,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_057528.1,
Ara hybrida,Ara hybrida,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Ara hybrida,Ara militaris,PV131675.1,[<0:>474](+),large subunit ribosomal RNA,474,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV131675.1,
Spheniscidae spp.,Spheniscidae spp.,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Spheniscidae spp.,Eudyptes chrysolophus,NC_054275.1,[1116:2707](+),16S ribosomal RNA,1591,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_054275.1,
Athene cunicularia,Athene cunicularia,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Athene cunicularia,Athene superciliaris,PV911322.1,[<0:>307](+),large subunit ribosomal RNA,307,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV911322.1,
Megascops asio,Megascops asio,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Megascops asio,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Strix nebulosa,Strix nebulosa,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Strix nebulosa,Strix aluco,NC_072569.1,[1133:2709](+),16S ribosomal RNA,1576,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_072569.1,
Megascops choliba,Megascops choliba,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Megascops choliba,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Megascops kennicottii,Megascops kennicottii,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Megascops kennicottii,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Sula leucogaster,Sula leucogaster,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Sula leucogaster,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Gulosus aristotelis,Gulosus aristotelis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Gulosus aristotelis,,,,,,GENUS_STANDIN,NO_GENUS_HITS,,No genus-level nuccore hits.
Leucocarbo bougainvillii,Leucocarbo bougainvillii,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Leucocarbo bougainvillii,Leucocarbo bransfieldensis,OR771715.1,[1110:2704](+),16S ribosomal RNA,1594,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR771715.1,
Nannopterum brasilianus,Nannopterum brasilianus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Nannopterum brasilianus,,,,,,GENUS_STANDIN,NO_GENUS_HITS,,No genus-level nuccore hits.
Morus bassanus,Morus bassanus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Morus bassanus,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Sula variegata,Sula variegata,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Sula variegata,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
